id;time;x;y;z
1575;1708636157017;1.9639091;2.3940191;9.4229355
1576;1708636157215;1.9627128;2.390729;9.428918
1577;1708636157415;1.96361;2.3919253;9.42503
1578;1708636157613;1.9609182;2.3922246;9.4229355
1579;1708636157815;1.9301106;2.3916261;9.395718
1580;1708636158015;1.6190436;2.594418;10.00828
1581;1708636158215;0.73399836;-0.07686943;14.789438
1582;1708636158415;-0.9346963;2.484348;11.142478
1583;1708636158617;-3.5536408;0.3367898;17.51576
1584;1708636158814;-1.39023;-0.42382872;8.554341
1585;1708636159015;1.7688942;0.84825563;3.4247274
1586;1708636159216;1.2373884;3.304189;1.7850457
1587;1708636159420;4.7359943;5.6297135;4.5206404
1588;1708636159613;4.121637;5.0644093;7.67109
1589;1708636159815;3.629912;5.0796633;7.195816
1590;1708636160013;3.1645079;4.1644087;7.570891
1591;1708636160215;0.0029910284;0.29910284;0.50787663
1592;1708636160415;-0.1896312;0.044566322;0.8572287
1593;1708636160613;-0.49830532;2.4541388;0.9514461
1594;1708636160813;3.7313077;2.937788;14.19243
1595;1708636161014;-4.907081;1.0546366;8.716156
1596;1708636161214;-0.41006997;0.99601245;9.806984
1597;1708636161234;-0.025124637;1.0103694;9.824331
1598;1708636161250;-0.11425728;1.018146;9.951151
1599;1708636161268;-0.05623133;1.0073783;9.826724
1600;1708636161479;-0.07686943;1.0100702;9.874282
1601;1708636161679;-0.07447661;1.0109676;9.87488
1602;1708636161880;-0.0738784;1.0100702;9.8727865
1603;1708636162082;-0.07328019;1.0130613;9.875478
1604;1708636162281;-0.07238288;1.0088738;9.873982
1605;1708636162480;-0.07477571;1.0085747;9.875777
1606;1708636162681;-0.07537391;1.0118649;9.87458
1607;1708636162880;-0.07597212;1.0133604;9.873684
1608;1708636163080;-0.075673014;1.0124631;9.871889
1609;1708636163281;-0.0735793;1.012164;9.875179
1610;1708636163479;-0.072681986;1.0100702;9.873982
1611;1708636163681;-0.0738784;1.0142577;9.873384
1612;1708636163880;-0.07298109;1.0085747;9.87488
1613;1708636164079;-0.0741775;1.0112667;9.87458
1614;1708636164280;-0.07477571;1.0127622;9.875179
1615;1708636164481;-0.07328019;1.0100702;9.873384
1616;1708636164681;-0.0735793;1.015155;9.873384
1617;1708636164881;-0.0738784;1.0124631;9.8727865
1618;1708636165078;-0.07597212;1.0133604;9.874282
1619;1708636165281;-0.0738784;1.0127622;9.87159
1620;1708636165479;-0.0741775;1.0115658;9.872487
1621;1708636165677;-0.07686943;1.012164;9.872487
1622;1708636165879;-0.06699903;1.009472;9.836894
1623;1708636166079;-0.09302098;0.97178507;9.917951
1624;1708636166280;-1.16351;0.7423732;15.263516
1625;1708636166478;-3.4911282;5.6934223;15.894324
1626;1708636166679;-1.5843477;1.4907285;0.53359944
1627;1708636166880;0.52283174;-1.6827525;6.06102
1628;1708636167078;-0.8757731;-1.8640088;10.323833
1629;1708636167280;-0.6729814;-0.9125627;11.169696
1630;1708636167478;-0.18275183;0.26470602;9.944571
1631;1708636167680;-0.07178468;0.34337005;9.917651
1632;1708636167878;-0.06759724;0.35204405;9.91137
1633;1708636168078;-0.067896344;0.34606197;9.913465
1634;1708636168280;-0.06520442;0.349053;9.913763
1635;1708636168480;-0.06699903;0.3469593;9.9140625
1636;1708636168681;-0.07148558;0.35084763;9.917353
1637;1708636168878;-0.069391854;0.34606197;9.912866
1638;1708636169077;-0.06849455;0.3502494;9.91496
1639;1708636169279;-0.068793654;0.34636107;9.91496
1640;1708636169477;-0.068793654;0.3481557;9.911968
1641;1708636169678;-0.06610172;0.34606197;9.912866
1642;1708636169877;-0.068793654;0.34666017;9.914362
1643;1708636170079;-0.07088737;0.34277186;9.912268
1644;1708636170277;-0.06550352;0.34636107;9.915558
1645;1708636170476;-0.066400826;0.34546378;9.912866
1646;1708636170675;-0.068793654;0.34636107;9.913465
1647;1708636170877;-0.068793654;0.34666017;9.91466
1648;1708636171077;-0.06729814;0.34366915;9.915857
1649;1708636171277;-0.06729814;0.34636107;9.91496
1650;1708636171477;-0.067896344;0.34606197;9.911968
1651;1708636171678;-0.06969096;0.34636107;9.914362
1652;1708636171878;-0.06759724;0.34666017;9.916156
1653;1708636172077;-0.06759724;0.34486556;9.91466
1654;1708636172278;-0.06550352;0.34456646;9.9140625
1655;1708636172477;-0.06580263;0.34666017;9.915558
1656;1708636172678;-0.06610172;0.34337005;9.910772
1657;1708636172877;-0.06520442;0.34576288;9.911072
